Country,Region,Happiness Score,Standard Error,Whisker-high,Whisker-low,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual,Year,Happiness Rank
Jamaica,Latin America and Caribbean,5890,0.120590433,6.126157284,5.65344286,0.779058397,1.408289194,0.788434088,0.553124607,0.116268493,0.030147785,2.214436531,2020,60
South Korea,East Asia,5872,0.044085015,5.958806515,5.785993099,1.245300651,1.133560538,1.022542596,0.25935635,0.170303866,0.094596282,1.946757078,2020,61
Japan,East Asia,5871,0.041391667,5.951927662,5.789672375,1.26672411,1.332338691,1.072881341,0.495465875,0.03571178,0.181439638,1.486200333,2020,62
Peru,Latin America and Caribbean,5797,0.061311204,5.916970253,5.67663002,0.91854918,1.208405972,0.824444175,0.513210058,0.091611817,0.02703266,2.213499546,2020,63
Serbia,Central and Eastern Europe,5778,0.050712325,5.877596378,5.678803921,0.988181829,1.327448964,0.828403294,0.395428419,0.15028289,0.059447147,2.029040098,2020,64
Bolivia,Latin America and Caribbean,5747,0.050645422,5.846765041,5.648234844,0.730976343,1.142350554,0.662445664,0.5744645,0.138375074,0.072942637,2.425928593,2020,65
Pakistan,South Asia,5693,0.048216224,5.78780365,5.598795891,0.616799474,0.872979581,0.469933242,0.405421734,0.228705063,0.122592121,2.976876736,2020,66
Paraguay,Latin America and Caribbean,5692,0.051957864,5.793937683,5.590262413,0.897990823,1.36819756,0.735869646,0.586510062,0.204299241,0.065077379,1.83412528,2020,67
Dominican Republic,Latin America and Caribbean,5689,0.069831297,5.826069355,5.552330494,0.983191848,1.328888893,0.741901696,0.5628739,0.112196781,0.115945682,1.844246864,2020,68
Bosnia and Herzegovina,Central and Eastern Europe,5674,0.046385963,5.765016556,5.583183289,0.91839546,1.203986526,0.813928187,0.305365741,0.264005244,0.001172487,2.16724205,2020,69
Moldova,Commonwealth of Independent States,5608,0.042275578,5.690360069,5.524640083,0.707916796,1.237312198,0.713299453,0.389571488,0.174049184,0.014378744,2.370968342,2020,70
Tajikistan,Commonwealth of Independent States,5556,0.032321576,5.619050026,5.492349625,0.474874616,1.218377709,0.680594802,0.521141171,0.182417125,0.221779913,2.25650835,2020,71
Montenegro,Central and Eastern Europe,5546,0.04898582,5.642112255,5.450088024,1.010150075,1.265657902,0.839028895,0.303223848,0.14901033,0.098435111,1.880565882,2020,72
Russia,Commonwealth of Independent States,5546,0.039609671,5.623634815,5.468365192,1.126999617,1.378644109,0.68044591,0.399499595,0.099041916,0.045699362,1.815716743,2020,73
Kyrgyzstan,Commonwealth of Independent States,5542,0.043677468,5.627108097,5.455892086,0.513180971,1.341036677,0.680645883,0.614617765,0.30137074,0.030466691,2.060206652,2020,74
Belarus,Commonwealth of Independent States,5540,0.037060037,5.612537384,5.467262268,1.018854499,1.38713932,0.75258857,0.290755868,0.08993306,0.193607435,1.8069911,2020,75
North Cyprus,Western Europe,5536,0.051037241,5.635532856,5.435467243,1.21279943,1.183089137,1.026124597,0.477885723,0.199160054,0.199802905,1.23668766,2020,76
Greece,Western Europe,5515,0.046931833,5.606986046,5.423013687,1.128070116,1.168973565,0.979431748,0.173516348,0,0.048844352,2.016179085,2020,77
Hong Kong S.A.R. of China,East Asia,5510,0.046019029,5.600596905,5.420202732,1.376746058,1.243584275,1.136630654,0.459356517,0.288280904,0.332485437,0.673293114,2020,78
Croatia,Central and Eastern Europe,5505,0.037783645,5.578756332,5.430644035,1.109024286,1.311264873,0.900575578,0.381456882,0.113998979,0.012325006,1.676029205,2020,79
Libya,Middle East and North Africa,5489,0.060677204,5.607727528,5.36987257,1.021913767,1.196283698,0.615626633,0.451354057,0.142757699,0.172258079,1.888563156,2020,80
Mongolia,East Asia,5456,0.040313236,5.535213947,5.377186298,0.904872775,1.458930612,0.615788162,0.355703115,0.263885736,0.046533126,1.810527563,2020,81
Malaysia,Southeast Asia,5384,0.048802696,5.479953289,5.288647175,1.168421626,1.17400229,0.788511872,0.596941531,0.274886161,0.062163133,1.319420815,2020,82
Vietnam,Southeast Asia,5353,0.033800762,5.41974926,5.287250519,0.718092382,1.253074765,0.819133997,0.650835574,0.136488721,0.089848459,1.685977936,2020,83
Indonesia,Southeast Asia,5286,0.047692381,5.379077435,5.192122936,0.891720712,1.154800892,0.610437036,0.568161428,0.542646527,0.038278613,1.479573488,2020,84
Ivory Coast,Sub-Saharan Africa,5233,0.073095515,5.376567364,5.090033054,0.537094414,0.799727261,0.154942513,0.397122532,0.169915587,0.093495794,3.081022501,2020,85
Benin,Sub-Saharan Africa,5216,0.077759244,5.368408203,5.063591957,0.366244704,0.352428436,0.328062952,0.40583989,0.196670428,0.125931874,3.440809727,2020,86
Maldives,South Asia,5198,0.071985401,5.338691235,5.056508541,0.937864304,1.402287602,0.914439559,0.548203647,0.224198252,0.071906492,1.098674774,2020,87
Congo (Brazzaville),Sub-Saharan Africa,5194,0.077028967,5.345376492,5.043423176,0.633616745,0.757636011,0.458101124,0.386514395,0.117216013,0.118670784,2.722619534,2020,88
Azerbaijan,Commonwealth of Independent States,5165,0.034197241,5.231826782,5.097773552,0.990272701,1.180613041,0.731134057,0.467734724,0.040113214,0.247307181,1.507632971,2020,89
Macedonia,Central and Eastern Europe,5160,0.046761535,5.251452446,5.068147659,0.935371995,1.183173537,0.802994132,0.410224587,0.18586354,0.024595059,1.617594957,2020,90
